,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
434,8.0,0.104,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.393
435,13.0,0.105,CNN,"said, vaccin, say, one, like, also, week, peopl, use, year",0.478
436,12.0,0.137,CNN,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.403
437,2.0,0.102,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.397
438,16.0,0.156,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.369
439,7.0,0.116,CNN,"said, say, peopl, year, also, get, work, one, school, two",0.406
440,2.0,0.087,CNN,"say, said, time, year, peopl, vaccin, first, like, also, work",0.4
441,10.0,0.167,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.504
442,10.0,0.151,CNN,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.432
443,16.0,0.084,CNN,"said, vaccin, one, peopl, say, get, new, day, time, case",0.456
444,0.0,0.197,CNN,"said, peopl, say, vaccin, one, like, time, get, day, new",0.477
445,9.0,0.166,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.489
446,8.0,0.053,CNN,"said, say, one, case, also, n’t, day, new, time, get",0.404
447,9.0,0.135,CNN,"said, peopl, year, vaccin, like, first, also, time, back, one",0.457
448,5.0,0.205,CNN,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.485
